"KNK_T2","KNK-1-1/2IN-D2-2ZB-126-050","VALVE, BALL, ISOLATION, UPSTREAM, PSV-2350-03","VABA","VA"
"KNK_T2","KNK-1-1/2IN-D2-2ZB-126-051","VALVE, BALL, ISOLATION, UPSTREAM, PSV-2350-04","VABA","VA"
"KNK_T2","KNK-1-1/2IN-M-2SN-151-006","VALVE, BALL, ISOLATION, UPSTREAM, PSV-2930A-01","VABA","VA"
"KNK_T2","KNK-1-1/2IN-M-2SN-151-032","VALVE, BALL, ISOLATION, UPSTREAM, PSV-2930B-01","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V17-01","VALVE, BALL, BYPASS, FOAM TANK, METHANOL DELUGE","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V17-02","VALVE, BALL, BYPASS, FOAM TANK, MODULE 3P-3S DELUG","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V17-03","VALVE, BALL, BYPASS, FOAM TANK, MODULE 1P-2P DELUG","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V17-04","VALVE, BALL, BYPASS, FOAM TANK, MODULE 5S DELUGE","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V18-01","VALVE, BALL, ISOLATION, FOAM TANK, METHANOL DELUGE","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V18-02","VALVE, BALL, ISOLATION, FOAM TANK, MODULE 3P-3S DE","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V18-03","VALVE, BALL, ISOLATION, FOAM TANK, MODULE 1P-2P DE","VABA","VA"
"KNK_T2","KNK-1-1/2IN-V18-04","VALVE, BALL, ISOLATION, FOAM TANK, MODULE 5S DELUG","VABA","VA"
"KNK_T2","KNK-1160-01","SALES OIL COOLERS","PKGE","PK"
"KNK_T2","KNK-1160-03","SALES OIL METERING","PKGE","PK"
"KNK_T2","KNK-12IN-11E-01","VALVE, BALL, ISOLATION, UPSTREAM, MODULE 5S DELUGE","VABA","VA"
"KNK_T2","KNK-12IN-11E-02","VALVE, BALL, ISOLATION, DOWNSTREAM, MODULE 5S DELU","VABA","VA"
"KNK_T2","KNK-12IN-11E-03","VALVE, BALL, BYPASS, MODULE 5S DELUGE","VABA","VA"
"KNK_T2","KNK-12IN-A1-2RFE-112-031","VALVE, BALL, ISOLATION, D/STREAM, PSV-2010A-01","VABA","VA"
"KNK_T2","KNK-12IN-A1-2RFE-112-114","VALVE, BALL, ISOLATION, D/STREAM, PSV-2010B-01","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RF-106-150","VALVE, BALL, TOPSIDE, OFF SPEC TK","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RF-117-068","VALVE, BALL, ISOLATION, D/STREAM HBG-2035A","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RF-117-168","VALVE, BALL, ISOLATION,D/STREAM HBG-2035B","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RFE-117-168","VALVE, BALL, TOPSIDE","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RR-106-147","VALVE, BALL, ISOLATION, UPSTREAM FV-1150-01","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RR-106-148","VALVE, BALL, ISOLATION, D/STREAM FV-1150-01","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RR-106-151","VALVE, BALL, TOPSIDE","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RR-106-269","VALVE, BALL, TOPSIDE","VABA","VA"
"KNK_T2","KNK-12IN-A2-2RR-108-013","VALVE, BALL, ISOLATION, D/STREAM PV-1130-02","VABA","VA"
